region,year,urban_share_pct,agri_ha_per_capita
Americas,1974,66.51015769608475,2.0122837805217695
Americas,1975,66.88672601549926,1.9869872499840342
Americas,1976,67.27285504742164,1.9642608352752398
Americas,1977,67.66407773500423,1.9420755017001041
Americas,1978,68.05071757824548,1.914886171328911
Americas,1979,68.43382070406376,1.8915344734365225
Americas,1980,68.8216867480341,1.8686337720559094
Americas,1981,69.24471253503665,1.8415866477180198
Americas,1982,69.65942872411199,1.8200338535319605
Americas,1983,70.05957679770017,1.7976960330590137
Americas,1984,70.46192306374644,1.7729801663385523
Americas,1985,70.87136967516292,1.7488268621013656
Americas,1986,71.28526886631268,1.721698887425071
Americas,1987,71.69491995258906,1.6893530581314204
Americas,1988,72.09457120071413,1.6629004906139235
Americas,1989,72.48307048315445,1.6377408816183392
Americas,1990,72.84861246861024,1.6123409205160013
Americas,1991,73.23537208832376,1.587076718857784
Americas,1992,73.62459393837763,1.5586357131689372
Americas,1993,74.02739493907241,1.530786802721053
Americas,1994,74.46967975264627,1.5047817295080592
Americas,1995,74.9320122415217,1.4806589863064705
Americas,1996,75.4072430205265,1.4563239824457153
Americas,1997,75.9107152182518,1.4363476202588228
Americas,1998,76.40275903314586,1.4184459262010158
Americas,1999,76.8677271553163,1.4001525881457741
Americas,2000,77.29852612135122,1.3824695607460864
Americas,2001,77.59758857190924,1.3632984624670452
Americas,2002,77.85172233541599,1.345990554358257
Americas,2003,78.09591831518863,1.3302146171616447
Americas,2004,78.33857151337371,1.3162004633945907
Americas,2005,78.59095844491765,1.3027335127537223
Americas,2006,78.8555383585078,1.287123117656125
Americas,2007,79.12399236094086,1.2737445240083958
Americas,2008,79.39071550327259,1.2556800731399969
Americas,2009,79.656045540775,1.2410619243187595
Americas,2010,79.91622038810794,1.231132050551254
Americas,2011,80.16004734206494,1.2184720147996855
Americas,2012,80.38460267394275,1.2085760022799308
Americas,2013,80.60138309341833,1.1978584244786752
Americas,2014,80.81701945626895,1.1841368917000672
Americas,2015,81.03872574988718,1.1738756150288483
Americas,2016,81.25664745969031,1.1621096923298497
Americas,2017,81.48213669873736,1.1495697644066212
Americas,2018,81.72886600580186,1.1374049518695477
Americas,2019,81.99685711272323,1.1127837455359966
Americas,2020,82.40296711411257,1.0948511439399096
Americas,2021,82.94548937483833,1.074471621219826
Americas,2022,83.40486329997472,1.0624515095114424
Americas,2023,83.74765615189251,1.0601153361319449
Americas,2024,84.07658677090791,1.0530581358466897
Americas,2025,84.41748721006665,
Asia,1961,21.33142240875217,0.6823084867477055
Asia,1962,21.73949964859502,0.6701908179381789
Asia,1963,22.038254091736555,0.6541611944524731
Asia,1964,22.343944745968663,0.6380828140168275
Asia,1965,22.406737183759915,0.6234069903843725
Asia,1966,22.524118486561523,0.6088375946671378
Asia,1967,22.70150460526925,0.5951186429665126
Asia,1968,22.885527485952945,0.5813421816593856
Asia,1969,23.063663955754507,0.5668762318178151
Asia,1970,23.24445576365807,0.5534840025668082
Asia,1971,23.442085180186456,0.5402830827976258
Asia,1972,23.688427138681618,0.5298994341901795
Asia,1973,23.975527306044665,0.5195859851174253
Asia,1974,24.312613940784566,0.5088200759600262
Asia,1975,24.581801333960577,0.49793222214970656
Asia,1976,24.89902478660754,0.48203567960155075
Asia,1977,25.208606839540412,0.4734004598155748
Asia,1978,25.648096926000562,0.46529741469156677
Asia,1979,26.21470716394261,0.45688103236457783
Asia,1980,26.79402674886011,0.4475223281375906
Asia,1981,27.384582350978974,0.4391114737211197
Asia,1982,27.930624233945682,0.4329113313792593
Asia,1983,28.429300485607367,0.4256312339667981
Asia,1984,28.94952446298023,0.4225394294962196
Asia,1985,29.474423037239312,0.4198328768641856
Asia,1986,30.002940695248892,0.41419836737419474
Asia,1987,30.526297669893864,0.40986641783991934
Asia,1988,31.051001437246672,0.4038683576182557
Asia,1989,31.56587139552411,0.3986241077521006
Asia,1990,32.06394163656907,0.3928538212964733
