region,year,kg_per_capita,production_mt,population_m
Americas,1991,593.7842567883205,436.32902055,734.827533
Americas,1992,697.3406287583658,520.52742562,746.446434
Americas,1993,561.9638272698049,425.91098315,757.897506
Americas,1994,679.7518874805963,522.77455044,769.066714
Americas,1995,577.8817775342801,450.80429638,780.097788
Americas,1996,657.8966092225697,520.38575076,790.98409
Americas,1997,647.2144877155089,518.90336185,801.748681
Americas,1998,653.4370691432113,530.94716841,812.545222
Americas,1999,635.4485718634604,523.150565,823.277584
Americas,2000,637.9391146753812,531.92851566,833.823328
Americas,2001,614.85659457059,519.0887621,844.243628
Americas,2002,552.2108060043502,471.85648285,854.486145
Americas,2003,648.1707102995051,560.38110036,864.557888
Americas,2004,688.297466449498,601.94261872,874.538478
Americas,2005,645.9588554005667,571.3472447400001,884.494794
Americas,2006,608.1177230697846,543.94309989,894.470066
Americas,2007,711.0144256426408,643.1340490700001,904.53024
Americas,2008,706.2662308088164,645.94722224,914.594517
Americas,2009,684.8224492535185,633.1329335199999,924.521289
Americas,2010,686.2046355486411,641.1168024,934.293896
Americas,2011,663.8800962191663,626.72259313,944.029798
Americas,2012,640.5618834583421,610.9302664500001,953.741211
Americas,2013,754.8950179933051,727.24151799,963.367754
Americas,2014,747.125527605603,726.871358,972.89054
Americas,2015,732.9153011589831,719.9110164,982.25677
Americas,2016,799.9426288538873,793.20779427,991.580853
Americas,2017,767.8642955525526,768.41267275,1000.714159
Americas,2018,741.3290710805497,748.36389625,1009.489477
Americas,2019,750.0268691767228,763.44830299,1017.894604
Americas,2020,766.2015367116953,784.94568653,1024.463733
Americas,2021,758.556342690071,780.71169274,1029.207257
Americas,2022,743.7224730074396,769.6401339500001,1034.848565
Americas,2023,789.7012800775103,822.70625912,1041.794258
Americas,2024,779.284355259844,817.28317764,1048.7611769999999
Asia,1961,195.67049523134034,329.54055,1684.160658
Asia,1962,202.20866009348384,347.434611,1718.198473
Asia,1963,210.15077849702612,370.50346,1763.036343
Asia,1964,215.87079666300752,390.730593,1810.020619
Asia,1965,208.0467904362727,386.023641,1855.465495
Asia,1966,212.52905620853122,403.908002,1900.483676
Asia,1967,219.78149123585342,427.577025,1945.464209
Asia,1968,220.58560716018317,439.579936,1992.786119
Asia,1969,219.9871230550269,449.286796,2042.33225
Asia,1970,229.82928082881685,480.976674,2092.756294
Asia,1971,228.88216501227515,490.378863,2142.494864
Asia,1972,218.33368403273323,478.505619,2191.625269
Asia,1973,228.39565796206108,511.97687,2241.622606
Asia,1974,224.85703411911166,515.175291,2291.123749
Asia,1975,239.28377979165737,559.725912,2339.171976
Asia,1976,236.59686781690723,564.510967,2385.961286
Asia,1977,235.64726072180378,573.197517,2432.438702
Asia,1978,249.17767380184944,617.651185,2478.758131
Asia,1979,246.1947172655948,622.02206,2526.545114
Asia,1980,245.29445210433818,631.986226,2576.439135
Asia,1981,250.1848457371031,657.431504,2627.783078
Asia,1982,252.07739669093675,675.923852,2681.413966
Asia,1983,272.16381503219037,744.564504,2735.721881
Asia,1984,275.6376045992295,769.039127,2790.037042
Asia,1985,264.774322408464,753.455381,2845.651248
Asia,1986,266.3423028585837,773.215407,2903.08899
Asia,1987,257.40297947947056,762.566907,2962.541104
Asia,1988,265.03371389017974,800.997634,3022.248084
Asia,1989,269.3428390667777,830.134772,3082.074782
Asia,1990,278.19526574615475,874.20432392,3142.412656
Asia,1991,271.1378681519675,867.7842982100001,3200.52785
Asia,1992,280.0499004823327,931.34026809,3325.622564
Asia,1993,276.1390852773872,933.58920216,3380.865846
Asia,1994,269.4305053541939,925.3657409299999,3434.524757
Asia,1995,270.13147970077927,942.13229716,3487.680511
Asia,1996,277.0699800478545,981.02998713,3540.729988
Asia,1997,276.2610844399709,992.67937426,3593.265321
Asia,1998,276.5629919807723,1008.14294821,3645.256153
Asia,1999,280.2106683983908,1035.81322767,3696.551718
Asia,2000,265.57004564747825,995.29818641,3747.780304
Asia,2001,263.46711994827893,1000.89001784,3798.918127
Asia,2002,257.1220946696086,989.49348221,3848.340935
Asia,2003,256.6532450160876,1000.12608517,3896.798909
Asia,2004,262.64659898459263,1036.24487703,3945.396137
Asia,2005,271.0512854301495,1082.55893532,3993.926587
Asia,2006,276.30038765057316,1117.0343083900002,4042.825701
Asia,2007,280.0312556667953,1145.78622248,4091.636913
Asia,2008,283.9410067783299,1175.61752826,4140.358385
Asia,2009,284.6129388549676,1192.51075906,4189.938672
Asia,2010,286.69217413282126,1215.52398006,4239.822673000001
Asia,2011,299.94308470331674,1286.6047808399999,4289.496396
Asia,2012,300.037594805746,1302.04578795,4339.608804
Asia,2013,303.6214360239045,1332.57661732,4388.941159
Asia,2014,302.28647715775855,1341.2288630399999,4436.946289
Asia,2015,309.14520103649727,1385.9931198900001,4483.307893
Asia,2016,307.6515861840754,1393.17411395,4528.415183
Asia,2017,307.7287281751416,1407.08309004,4572.478814
Asia,2018,306.1805993691231,1412.60201278,4613.623514
Asia,2019,306.48631422913496,1425.89241868,4652.385286
Asia,2020,309.42039752775423,1450.5979029100001,4688.113371
Asia,2021,311.3222013414854,1468.916638,4718.316367
