area,region,score,n_indicators,pou_pct,stunting_pct,cereal_import_dep_pct,unaffordable_pct,agrifood_t_per_cap,obesity_pct,cereal_yield_t_ha,des_adequacy_pct
Djibouti,Africa,-0.09712021543026125,8,14.7,20.9,100.0,49.8,0.9269073779819316,11.7,2.041,113.0
Mauritania,Africa,-0.11200894017936057,8,11.0,21.5,55.3,50.9,2.500916586177916,24.1,1.5374,130.0
Gambia,Africa,-0.12607692932086226,8,17.5,14.0,89.6,43.7,0.7991313437206363,12.4,1.005,105.0
Vanuatu,Oceania,-0.1269526300796859,7,5.8,31.0,98.2,,3.1188377979395088,22.6,0.6362000000000001,137.0
Lao People's Democratic Republic,Asia,-0.142628543928239,8,10.0,29.9,-0.3,49.7,4.7844082310316525,9.2,4.1964,109.0
Comoros,Africa,-0.1469176773489158,8,16.5,17.4,78.2,48.6,0.2878838693441927,16.8,1.7177,108.0
Mongolia,Asia,-0.15857309833441777,8,2.5,7.1,39.3,29.8,17.464063944157402,25.1,1.2506,131.0
Honduras,Americas,-0.21600804258450435,8,14.3,17.9,65.7,34.2,1.787566786984618,31.8,1.8868,114.0
Ethiopia,Africa,-0.22955522650476562,8,19.9,35.5,8.6,67.9,1.2498630929493102,2.9,2.6315999999999997,113.0
South Africa,Africa,-0.23286040085801207,8,11.2,24.4,0.7,57.9,1.3036126069853655,31.8,4.562,111.0
Sao Tome and Principe,Africa,-0.2339362710546847,8,23.0,10.0,85.7,51.1,0.317010798237977,17.9,2.004,99.0
Nicaragua,Americas,-0.23556128049357247,7,17.3,,50.5,27.1,3.258432123861655,33.7,2.5153000000000003,120.0
Gabon,Africa,-0.24701047348227778,8,23.3,13.7,90.6,39.3,2.5157790862725165,22.7,1.5873,114.0
Uganda,Africa,-0.27640158249702385,8,20.9,23.5,15.3,73.6,1.233283296956974,9.5,1.9198,109.0
Zimbabwe,Africa,-0.28317254682812665,7,18.4,23.7,41.5,,2.197207668010826,14.7,1.0697999999999999,107.0
