area,region,prod_growth_pct,pop_growth_pct,population_m,gap_pp
Democratic Republic of the Congo,Africa,69.35069121382959,59.380722015264254,109.276265,9.969969198565337
Kyrgyzstan,Asia,41.27317549290297,30.850723474674147,7.186009,10.422452018228824
Eritrea,Africa,32.09655309956507,20.046849333115112,3.535603,12.049703766449959
Australia,Oceania,33.76139815351322,20.64723926657448,26.713205,13.114158886938739
Togo,Africa,46.58409490317115,32.89345137712487,8.406558,13.69064352604628
Romania,Europe,6.889876510234649,-6.937383415324961,19.015088,13.82725992555961
Slovenia,Europe,17.522459737258657,3.6234258627064753,2.118697,13.899033874552181
Bangladesh,Asia,29.376929642996565,14.03423454784074,173.562364,15.342695095155825
"China, Taiwan Province of",Asia,18.61791647420381,-0.043433425411731896,23.213962,18.66134989961554
Croatia,Europe,8.990289354403224,-9.900154493745273,3.875325,18.890443848148497
Uganda,Africa,73.37376478836934,54.41140358302954,50.015092,18.962361205339803
Belarus,Europe,14.688225100269037,-4.573462671872575,9.056696,19.261687772141613
Tunisia,Africa,35.097862186981274,14.036149054707515,12.277109,21.06171313227376
Ethiopia,Africa,67.17237754705125,45.86032083539608,132.059767,21.312056711655174
Canada,Americas,38.025516996153684,16.21647331239011,39.74243,21.809043683763573
Poland,Europe,26.14094454926672,1.165102796926587,38.539201,24.975841752340134
United Republic of Tanzania,Africa,78.96282510246786,53.17800056159181,68.560157,25.784824540876052
Bosnia and Herzegovina,Europe,8.854862897963356,-16.980814761331054,3.164253,25.83567765929441
"China, mainland",Asia,30.85018692317243,5.013442843564131,1419.321278,25.836744079608298
India,Asia,48.173076323177646,16.683337574597125,1450.935791,31.48973874858052
Nepal,Asia,40.422831456030515,8.44527120814198,29.651054,31.977560247888533
Pakistan,Asia,60.67541425822647,26.114417722546122,251.269164,34.560996535680346
Mali,Africa,95.55017597050997,53.51703378032684,24.478595,42.03314219018313
Slovakia,Europe,44.34679937487669,2.1311605235382114,5.50676,42.215638851338475
Guinea,Africa,88.21150930431374,41.92634612680195,14.754785,46.285163177511784
Bulgaria,Europe,40.75179406452705,-9.14152537667061,6.757689,49.89331944119766
Cambodia,Asia,72.75429670872018,21.640813018603346,17.638801,51.11348369011683
Mauritania,Africa,104.76880719060398,52.446132590575246,5.169395,52.32267460002873
Bolivia (Plurinational State of),Americas,75.15032589372963,21.91017884387143,12.413315,53.240147049858194
Azerbaijan,Asia,71.36648470353524,13.00694632502486,10.336577,58.35953837851038
Central African Republic,Africa,79.70113080490438,18.644467665777498,5.33069,61.05666313912688
Ukraine,Europe,43.85539749580134,-18.50305801175056,37.860221,62.3584555075519
Benin,Africa,117.90962072022491,47.61671465857968,14.462724,70.29290606164523
Côte d'Ivoire,Africa,112.46404396843465,42.0052433148536,31.93423,70.45880065358105
Argentina,Americas,83.85185116001605,10.674750332379123,45.696159,73.17710082763693
Senegal,Africa,121.42950110350745,46.42959434725245,18.501984,74.999906756255
Brazil,Americas,84.91300868983365,9.445772736728909,211.998573,75.46723595310473
Ghana,Africa,113.44542372822582,35.14198530755355,34.427414,78.30343842067228
Kazakhstan,Asia,102.75732710409393,22.30684434878103,20.592571,80.4504827553129
Estonia,Europe,92.15710554091265,2.18544021246041,1.360546,89.97166532845225
Georgia,Asia,90.08944595821981,-2.2653156824117504,3.80767,92.35476164063157
Burundi,Africa,144.30417105018876,49.81997439541046,14.047786,94.48419665477829
Russian Federation,Europe,101.94908143282161,0.6155287408057486,144.820423,101.33355269201587
Lithuania,Europe,104.09017770944327,-7.702762031429566,2.85911,111.79293974087284
Latvia,Europe,119.60292580982235,-10.771125033427387,1.871871,130.37405084324973
