area_code,area,region,cluster,cluster_name,pc1,pc2,cereal_yield_t_ha,n_kg_per_ha,cereal_kg_per_cap,cereal_import_dep_pct,pou_pct,obesity_pct,agrifood_t_per_cap,urban_share,log_gdp_cap,forest_share,cropland_share,unaffordable_pct
84,Greece,Europe,1,low diet unaffordable · high urban share,1.2380483902130712,0.42511531360631727,4.0529,67.8,286.03128420830114,34.0,,27.4,2.237240752333224,0.884803733985203,10.531402638158458,0.3694957331264546,0.22404965089216447,23.8
86,Grenada,Americas,1,low diet unaffordable · high urban share,-0.5936007380511154,0.43851580809797036,0.9966,4.86,1.5119404131152576,100.0,,31.5,1.1847285212801395,0.35259839429385614,9.78425346461243,0.5145348837209303,0.20348837209302326,23.2
89,Guatemala,Americas,1,low diet unaffordable · high urban share,-0.5938200824272188,0.43045041890186375,2.2375,73.11,126.65135728364311,54.7,12.7,28.0,1.8865346824065408,0.559713575074788,9.444700778495557,0.33117207913400526,0.2854544606196342,48.6
90,Guinea,Africa,0,high diet unaffordable · low log gdp per head,-1.9354649593594255,-0.6613163957944642,1.351,2.48,364.96675959697143,28.5,8.7,10.6,3.206287737406379,0.3974661779212642,8.298041661371565,0.20040330457431224,0.2967857724238971,50.4
91,Guyana,Americas,3,high cereal per head · high agrifood co2e per head,3.0524523745712298,-3.5292950207319707,6.562600000000001,127.06,1347.3920299559493,-105.7,2.9,30.1,17.527562554985582,0.2652141111580376,11.16360909448382,0.8707407407407407,0.005967604433077579,10.0
93,Haiti,Americas,0,high diet unaffordable · low log gdp per head,-4.37612813389171,0.19931590568880322,1.0644,2.39,27.436690261937148,82.9,51.4,11.1,1.0369344762463224,0.6095797200217421,7.940939762327791,0.1345065312046444,0.4735957910014514,87.9
95,Honduras,Americas,1,low diet unaffordable · high urban share,-0.5779071227234456,0.47609640264394726,1.8868,61.94,71.13103694051092,65.7,14.3,31.8,1.787566786984618,0.5792386877785212,8.792701462936309,0.5283358655822683,0.15415407989990168,35.2
97,Hungary,Europe,3,high cereal per head · high agrifood co2e per head,1.8163866979937744,-1.261853556027949,5.6297,79.28,1311.4048119419583,-61.4,2.5,31.4,2.6718141699400495,0.7167651133432925,10.613663910088935,0.22806267806267808,0.4681765285996055,30.0
98,Croatia,Europe,1,low diet unaffordable · high urban share,2.046295973171901,-0.3272509843521634,6.5705,97.62,847.805022804539,-50.8,2.7,30.8,2.0021826103182656,0.6121927838310335,10.664970722216369,0.3475482487491065,0.1663688348820586,12.9
99,Iceland,Europe,1,low diet unaffordable · high urban share,1.6758012859609803,0.834346517919948,1.9723,88.18,12.674251898850013,93.1,,22.2,6.211768303066896,0.8441011093147871,11.117064093004759,0.006002181890310424,0.012000396707329167,1.8
100,India,Asia,0,high diet unaffordable · low log gdp per head,-1.0824814289490319,-0.16675846898530652,3.6325,131.82,269.5666205672915,-12.4,9.8,8.0,0.9826588816220267,0.3655483208078089,9.191972714617998,0.24436043441556038,0.5650832943740561,40.6
